"stat_property","month_edit","no_statement","no_claim","stat_claim_ratio"
"P355","2014-05",8,34,4.25
"P469","2013-04",4,17,4.25
"P728","2014-03",8,34,4.25
"P800","2013-09",4,17,4.25
"P1283","2015-05",13,55,4.23076923076923
"P486","2015-01",5,21,4.2
"P639","2015-05",5,21,4.2
"P636","2015-11",11,46,4.18181818181818
"P47","2013-11",97,405,4.17525773195876
"P636","2015-10",679,2835,4.17525773195876
"P100","2013-06",6,25,4.16666666666667
"P1174","2016-03",6,25,4.16666666666667
"P1414","2015-12",6,25,4.16666666666667
"P725","2015-07",6,25,4.16666666666667
"P47","2013-03",1150,4786,4.16173913043478
"P266","2013-03",90,374,4.15555555555556
"P608","2014-03",14,58,4.14285714285714
"P710","2016-08",186,769,4.13440860215054
"P527","2013-08",164,677,4.1280487804878
"P185","2014-01",8,33,4.125
"P47","2016-07",715,2949,4.12447552447552
"P161","2015-12",674,2774,4.11572700296736
"P358","2016-05",9,37,4.11111111111111
"P639","2015-11",608,2499,4.11019736842105
"P1283","2015-09",10,41,4.1
"P923","2015-03",10,41,4.1
"P705","2013-09",1598,6548,4.09762202753442
"P2404","2016-04",11,45,4.09090909090909
"P161","2015-02",1021,4174,4.08814887365328
"P528","2013-11",1971,8027,4.07255200405885
"P527","2014-09",1000,4072,4.072
"P974","2015-01",17,69,4.05882352941176
"P388","2013-04",37,150,4.05405405405405
"P47","2015-02",335,1357,4.05074626865672
"P150","2014-09",27,109,4.03703703703704
"P1308","2016-05",29,117,4.03448275862069
"P682","2016-03",95211,382408,4.01642667338858
"P2093","2016-09",91621,366883,4.00435489680314
"P1","2013-03",1,4,4
"P1012","2014-04",2,8,4
"P1029","2015-11",3,12,4
"P1054","2015-11",1,4,4
"P1072","2014-02",1,4,4
"P1072","2014-07",1,4,4
"P1073","2014-02",1,4,4
"P1081","2015-09",1,4,4
"P1112","2014-11",2,8,4
"P1137","2016-01",1,4,4
"P1193","2016-02",1,4,4
"P121","2013-09",3,12,4
"P1257","2014-08",1,4,4
"P1283","2015-03",3,12,4
"P1329","2015-03",1,4,4
"P1372","2015-07",1,4,4
"P1395","2015-03",1,4,4
"P1410","2015-05",1,4,4
